frame_time_s,f0_hz
0,
0.0928604,
0.185721,350.237
0.278581,352.266
0.371442,409.35
0.464302,207.053
0.557163,194.306
0.650023,190.968
0.742883,196.564
0.835744,202.324
0.928604,198.848
1.02146,204.675
1.11433,194.306
1.20719,197.703
1.30005,190.968
1.39291,360.5
1.48577,131.191
1.57863,173.107
1.67149,178.18
1.76435,180.25
1.85721,183.401
1.95007,175.119
2.04293,181.294
2.13579,176.133
2.22865,176.133
2.32151,176.133
2.41437,172.11
2.50723,176.133
2.60009,175.119
2.69295,183.401
2.78581,207.053
2.87867,194.306
2.97153,192.075
3.06439,87.5594
3.15725,77.5572
3.25011,51.7632
3.34298,136.604
3.43584,138.992
3.5287,138.992
3.62156,149.831
3.71442,88.0666
3.80728,87.5594
3.90014,83.6053
3.993,82.645
4.08586,65.9754
4.17872,82.645
4.27158,82.645
4.36444,82.645
4.4573,175.119
4.55016,174.11
4.64302,82.169
4.73588,70.3034
4.82874,68.302
4.9216,131.191
5.01446,130.435
5.10732,131.191
5.20018,131.191
5.29304,131.191
5.3859,130.435
5.47876,116.878
5.57163,115.535
5.66449,202.324
5.75735,183.401
5.85021,183.401
5.94307,81.2252
6.03593,65.2176
6.12879,87.5594
6.22165,178.18
6.31451,178.18
6.40737,87.5594
6.50023,88.0666
6.59309,177.154
6.68595,177.154
6.77881,184.463
6.87167,174.11
6.96453,175.119
7.05739,177.154
7.15025,174.11
7.24311,173.107
7.33597,348.22
7.42883,197.703
7.52169,90.6471
7.61455,69.8985
7.70742,69.8985
7.80028,136.604
7.89314,138.191
7.986,70.3034
8.07886,69.8985
8.17172,188.775
8.26458,175.119
8.35744,88.0666
8.4503,87.5594
8.54316,65.9754
8.63602,65.5954
8.72888,65.5954
8.82174,66.3576
8.9146,65.9754
9.00746,65.9754
9.10032,65.9754
9.19318,65.5954
9.28604,65.5954
9.3789,204.675
9.47176,205.86
9.56462,202.324
9.65748,69.4959
9.75034,205.86
9.8432,68.6977
9.93607,51.7632
10.0289,87.5594
10.1218,114.208
10.2146,52.0631
10.3075,52.0631
10.4004,87.0551
10.4932,205.86
10.5861,175.119
10.6789,177.154
10.7718,87.5594
10.8647,195.432
10.9575,91.7004
11.0504,96.5936
11.1433,131.191
11.2361,124.545
11.329,273.208
11.4218,134.257
11.5147,131.191
11.6076,131.191
11.7004,235.11
11.7933,247.655
11.8861,250.533
11.979,
12.0719,56.7752
12.1647,69.8985
12.2576,69.8985
12.3504,69.8985
12.4433,
12.5362,70.3034
12.629,70.3034
12.7219,131.191
12.8147,138.191
12.9076,88.0666
13.0005,88.5768
13.0933,138.191
13.1862,131.951
13.279,65.9754
13.3719,65.9754
13.4648,66.3576
13.5576,65.9754
13.6505,65.9754
13.7433,65.5954
13.8362,65.5954
13.9291,65.9754
14.0219,51.4651
14.1148,102.93
14.2076,196.564
14.3005,205.86
14.3934,202.324
14.4862,208.252
14.5791,204.675
14.6719,85.5595
14.7648,73.6284
14.8577,69.4959
14.9505,51.1687
15.0434,131.191
15.1362,250.533
15.2291,176.133
15.322,179.212
15.4148,86.5537
15.5077,203.496
15.6006,93.3033
15.6934,120.303
15.7863,138.191
15.8791,
15.972,
16.0649,
16.1577,
16.2506,
16.3434,
16.4363,
16.5292,
16.622,
16.7149,
16.8077,
16.9006,225.793
16.9935,236.472
17.0863,232.409
17.1792,232.409
17.272,233.755
17.3649,213.12
17.4578,207.053
17.5506,197.703
17.6435,190.968
