frame_time_s,rms,spectral_centroid_hz,zcr,f0_hz
0,0,0,0,
0.0928604,0.00291937,1123.77,0.120605,
0.185721,0.05369,1070.5,0.0478516,350.237
0.278581,0.0843628,1332.91,0.0507812,352.266
0.371442,0.160254,878.33,0.0419922,409.35
0.464302,0.217544,1049.94,0.0483398,207.053
0.557163,0.21448,933.897,0.0375977,194.306
0.650023,0.155866,969.984,0.0361328,190.968
0.742883,0.146646,759.491,0.0385742,196.564
0.835744,0.122597,664.575,0.0361328,202.324
0.928604,0.0953757,724.693,0.0366211,198.848
1.02146,0.0775726,736.629,0.0356445,204.675
1.11433,0.0729069,956.975,0.034668,194.306
1.20719,0.0731713,821.639,0.034668,197.703
1.30005,0.0818611,726.355,0.0317383,190.968
1.39291,0.0748228,1346.94,0.0454102,360.5
1.48577,0.0720409,1509.14,0.0449219,131.191
1.57863,0.163072,1345.54,0.0424805,173.107
1.67149,0.0761785,1394.28,0.0380859,178.18
1.76435,0.0592081,1084.24,0.043457,180.25
1.85721,0.0578345,1217.99,0.034668,183.401
1.95007,0.0470139,1173.45,0.0415039,175.119
2.04293,0.0457383,964.652,0.0307617,181.294
2.13579,0.167668,1301.87,0.0522461,176.133
2.22865,0.183687,1476.3,0.0522461,176.133
2.32151,0.221383,1559.9,0.0415039,176.133
2.41437,0.192233,1710.02,0.0546875,172.11
2.50723,0.195524,1776.73,0.0585938,176.133
2.60009,0.189611,1678.55,0.0512695,175.119
2.69295,0.239777,1302.54,0.0463867,183.401
2.78581,0.200366,1480.72,0.0605469,207.053
2.87867,0.210002,1373.98,0.0429688,194.306
2.97153,0.182193,1315.58,0.0522461,192.075
3.06439,0.161196,1434.24,0.0668945,87.5594
3.15725,0.159565,1218.98,0.0541992,77.5572
3.25011,0.135329,1520.36,0.0703125,51.7632
3.34298,0.152858,1491.83,0.0532227,136.604
3.43584,0.158003,1557.81,0.0483398,138.992
3.5287,0.187836,1666.71,0.0390625,138.992
3.62156,0.153459,1438.25,0.0566406,149.831
3.71442,0.152383,1477.95,0.0512695,88.0666
3.80728,0.146014,1441.97,0.0454102,87.5594
3.90014,0.166468,1557.32,0.0488281,83.6053
3.993,0.14338,1477.44,0.0556641,82.645
4.08586,0.155621,1402.99,0.0512695,65.9754
4.17872,0.161679,1435.77,0.0561523,82.645
4.27158,0.159437,1661.36,0.0605469,82.645
4.36444,0.147875,1557.6,0.0600586,82.645
4.4573,0.175497,1337.04,0.0478516,175.119
4.55016,0.13235,1678.41,0.0649414,174.11
4.64302,0.120346,1494.89,0.0566406,82.169
4.73588,0.161218,1396.22,0.0571289,70.3034
4.82874,0.140589,1947.69,0.0668945,68.302
4.9216,0.185101,1350.65,0.0366211,131.191
5.01446,0.183153,996.76,0.034668,130.435
5.10732,0.184949,1187.11,0.0356445,131.191
5.20018,0.195866,1185.03,0.0356445,131.191
5.29304,0.175934,1613.32,0.034668,131.191
5.3859,0.206763,1190.85,0.0351562,130.435
5.47876,0.151926,1407.46,0.0375977,116.878
5.57163,0.148167,901.283,0.0249023,115.535
5.66449,0.0877988,1206.75,0.0317383,202.324
5.75735,0.0647188,1877.48,0.0415039,183.401
5.85021,0.0663253,985.529,0.0366211,183.401
5.94307,0.0653572,705.981,0.0288086,81.2252
6.03593,0.0707085,702.424,0.0253906,65.2176
6.12879,0.0914758,1086.95,0.0356445,87.5594
6.22165,0.147266,1102.38,0.0458984,178.18
6.31451,0.0828924,1323.47,0.046875,178.18
6.40737,0.0781352,909.834,0.0375977,87.5594
6.50023,0.0923378,713.928,0.0341797,88.0666
6.59309,0.0655177,798.973,0.0380859,177.154
6.68595,0.0716217,884.221,0.0332031,177.154
6.77881,0.108778,1412.72,0.0444336,184.463
6.87167,0.134733,1921.17,0.0673828,174.11
6.96453,0.144467,1885.78,0.0766602,175.119
7.05739,0.155345,1752.6,0.0571289,177.154
7.15025,0.167647,1672.88,0.0478516,174.11
7.24311,0.149384,1771.15,0.0541992,173.107
7.33597,0.164854,2070.7,0.114746,348.22
7.42883,0.137172,1796.45,0.0644531,197.703
7.52169,0.123497,1502.95,0.0766602,90.6471
7.61455,0.0973696,1170.39,0.0644531,69.8985
7.70742,0.150557,1037.17,0.0683594,69.8985
7.80028,0.148575,2992.32,0.191895,136.604
7.89314,0.148768,1643.33,0.0688477,138.191
7.986,0.136686,1033.24,0.0566406,70.3034
8.07886,0.0821746,1038.51,0.0810547,69.8985
8.17172,0.220799,1812.48,0.0566406,188.775
8.26458,0.16573,2513.66,0.0424805,175.119
8.35744,0.0992144,1281.14,0.0449219,88.0666
8.4503,0.10079,768.292,0.0380859,87.5594
8.54316,0.165062,797.505,0.0336914,65.9754
8.63602,0.159778,1605.91,0.0332031,65.5954
8.72888,0.178532,524.905,0.0249023,65.5954
8.82174,0.15897,597.536,0.0297852,66.3576
8.9146,0.138533,600.379,0.0390625,65.9754
9.00746,0.159013,652.037,0.0498047,65.9754
9.10032,0.136618,2630.18,0.138672,65.9754
9.19318,0.120896,1333.06,0.0400391,65.5954
9.28604,0.109524,684.274,0.0288086,65.5954
9.3789,0.184791,1214.2,0.0439453,204.675
9.47176,0.176615,1040.36,0.0356445,205.86
9.56462,0.146893,1046.68,0.0356445,202.324
9.65748,0.139288,903.506,0.0341797,69.4959
9.75034,0.12511,1015.27,0.0341797,205.86
9.8432,0.130897,914.837,0.0385742,68.6977
9.93607,0.116586,804.078,0.0297852,51.7632
10.0289,0.17051,652.804,0.0292969,87.5594
10.1218,0.151821,2069.68,0.0712891,114.208
10.2146,0.11534,1107.02,0.0375977,52.0631
10.3075,0.0988116,722.259,0.0249023,52.0631
10.4004,0.0897897,678.632,0.0249023,87.0551
10.4932,0.200019,1645.3,0.027832,205.86
10.5861,0.201407,1578.29,0.0175781,175.119
10.6789,0.118486,866.821,0.0224609,177.154
10.7718,0.0510063,1461.66,0.0532227,87.5594
10.8647,0.123844,2035.05,0.0825195,195.432
10.9575,0.0834697,2540.95,0.158691,91.7004
11.0504,0.142733,1944.5,0.111816,96.5936
11.1433,0.127241,2031,0.105957,131.191
11.2361,0.114889,2337.2,0.143066,124.545
11.329,0.134491,2244.77,0.138184,273.208
11.4218,0.130102,2771.72,0.187012,134.257
11.5147,0.0935104,2588.35,0.150391,131.191
11.6076,0.121176,1759.68,0.065918,131.191
11.7004,0.20072,1402.93,0.0517578,235.11
11.7933,0.184095,1244.97,0.0307617,247.655
11.8861,0.141112,1342.54,0.0292969,250.533
11.979,0.179542,2360.49,0.133789,
12.0719,0.150883,1815.84,0.0766602,56.7752
12.1647,0.131278,1586.58,0.0917969,69.8985
12.2576,0.125253,1207.45,0.0717773,69.8985
12.3504,0.147014,1084.98,0.0610352,69.8985
12.4433,0.150742,3024.95,0.229004,
12.5362,0.130366,1992.75,0.0898438,70.3034
