frame_time_s,rms,spectral_centroid_hz,spectral_bandwidth_hz,zcr,f0_hz
0,0,0,0,0,615.385
0.064,2.6974e-06,3114.06,2515.24,0.000976562,615.385
0.128,0.026462,1125.33,1329.28,0.0336914,476.794
0.192,0.0565905,1117.84,1384.14,0.0620117,65.862
0.256,0.0783564,1302.51,1666.23,0.0654297,65.9351
0.32,0.116478,1250.17,1530.01,0.0654297,65.8566
0.384,0.177091,927.387,1343.62,0.0610352,186.362
0.448,0.209553,1112.51,1641.92,0.0634766,69.3868
0.512,0.207488,1090.95,1620.86,0.0581055,199.735
0.576,0.197088,932.337,1459.97,0.050293,194.438
0.64,0.176502,972.786,1458.62,0.0498047,194.191
0.704,0.158526,914.158,1375.88,0.0527344,188.114
0.768,0.139275,725.952,1172.36,0.0527344,198.274
0.832,0.11895,685.246,1109.1,0.050293,199.845
0.896,0.106988,747.843,1169.49,0.0498047,203.649
0.96,0.0864704,713.974,1145.86,0.050293,197.856
1.024,0.077062,754.661,1171.78,0.0488281,201.3
1.088,0.0768921,820.891,1329.62,0.0473633,194.954
1.152,0.0791489,954.621,1524.41,0.0458984,196.656
1.216,0.0751393,854.574,1378.33,0.0463867,197.96
1.28,0.0763854,751.633,1244.22,0.0463867,68.8963
1.344,0.0779138,1784.26,2074.92,0.0498047,86.9342
1.408,0.070686,1254.89,1802.2,0.0546875,364.962
1.472,0.0821665,1252.74,1800.2,0.0625,197.334
1.536,0.139404,1255.1,1813.37,0.0664062,359.893
1.6,0.137636,1453.96,2015.35,0.0571289,176.577
1.664,0.0870462,1473.21,2050.94,0.0507812,180.785
1.728,0.0738015,1021.83,1618.55,0.0517578,182.578
1.792,0.0526714,1130.09,1669.93,0.0512695,182.496
1.856,0.0544764,1234.28,1732.35,0.0498047,181.787
1.92,0.0543387,1302.36,1915.97,0.0541992,87.5348
1.984,0.0478942,1361.78,1933.69,0.0541992,86.6124
2.048,0.0572616,1002.18,1561.98,0.0527344,182.643
2.112,0.138593,1169.39,1701.78,0.0600586,363.08
2.176,0.188189,1606.21,2029.45,0.0693359,174.267
2.24,0.182218,1685.94,2127.74,0.0654297,175.467
2.304,0.207998,1793.82,2137.85,0.0561523,173.879
2.368,0.21604,1715.67,2099.19,0.0639648,176.616
2.432,0.197753,1839.3,2141.28,0.074707,172.769
2.496,0.193539,1894.86,2202.05,0.0771484,176.079
2.56,0.183659,1906.46,2147.24,0.0776367,173.759
2.624,0.218621,1726.19,2047.51,0.0615234,175.005
2.688,0.23035,1328.01,1722.3,0.0615234,180.689
2.752,0.203767,1572.65,1871.68,0.0844727,204.877
2.816,0.206951,1498.75,1876.41,0.0732422,203.845
2.88,0.211372,1436,1847.12,0.0556641,194.878
2.944,0.191217,1374.98,1795.57,0.0649414,192.7
3.008,0.171938,1563.11,1901.31,0.0800781,186.397
3.072,0.159129,1482.59,1839.06,0.081543,87.5999
3.136,0.157542,1330.77,1767.88,0.0732422,88.0911
3.2,0.149431,1342.49,1804.75,0.0786133,77.2627
3.264,0.137399,1510.95,1757.96,0.0883789,90.5216
3.328,0.153043,1525.39,1935.79,0.0742188,69.7894
3.392,0.158195,1547.33,1958.04,0.0629883,136.502
3.456,0.161664,1673.13,2025.79,0.0649414,69.572
3.52,0.181985,1765.3,2005.12,0.0527344,69.4406
3.584,0.176598,1419.05,1860.4,0.0581055,138.761
3.648,0.152495,1557.6,1980.36,0.0737305,154.823
3.712,0.149816,1564.46,2012.64,0.0708008,174.935
3.776,0.143771,1598.01,2045.88,0.0644531,87.555
3.84,0.158908,1316.96,1838.42,0.0600586,87.172
3.904,0.16247,1575.43,2126.85,0.0625,83.9437
3.968,0.143795,1517.91,2013.7,0.0717773,82.7371
4.032,0.149411,1475.14,1965,0.0737305,82.8484
4.096,0.154806,1516.45,1885.03,0.0766602,65.8476
4.16,0.160132,1562.12,1989.26,0.0761719,65.7829
4.224,0.16389,1693.32,2128.24,0.0766602,82.6891
4.288,0.160528,1781.4,2176.25,0.0834961,82.7166
4.352,0.148337,1649.14,2076.71,0.0810547,82.6855
4.416,0.158337,1322.97,1754.68,0.0708008,165.582
4.48,0.166153,1482.74,1949.31,0.0688477,176.491
4.544,0.145228,1708.05,2063.01,0.0786133,174.514
4.608,0.124346,1650.95,2137.99,0.081543,82.5641
4.672,0.136668,1555.49,1926.75,0.0800781,165.815
4.736,0.153122,1463.8,1747.12,0.0830078,353.034
4.8,0.139934,2210.2,2370.75,0.081543,69.8454
4.864,0.162384,1442.76,1985.36,0.0634766,132.488
4.928,0.181529,1401.62,1966.15,0.0478516,130.67
4.992,0.181738,1098.51,1616.44,0.0478516,130.639
5.056,0.189047,1272.07,1863.92,0.0493164,130.53
5.12,0.185517,1336.05,1961.71,0.0493164,130.939
5.184,0.19157,1307.57,1926.41,0.0488281,131.113
5.248,0.182397,1250.66,1850.95,0.0478516,130.699
5.312,0.183736,1455.53,2008.42,0.0483398,131.085
5.376,0.202675,1303.62,1931.33,0.0483398,130.792
5.44,0.178773,1124.11,1760.12,0.0537109,127.647
5.504,0.158719,1345.88,1787.84,0.0458984,116.435
5.568,0.147117,941.46,1576.61,0.0327148,116.429
5.632,0.107082,1168.6,1850.97,0.0366211,213.628
5.696,0.0754263,1541.34,2121.69,0.0478516,199.807
5.76,0.0654923,1872.34,2286.68,0.0571289,182.671
5.824,0.0667859,1187.71,1845.74,0.0537109,183.808
5.888,0.0634645,833.682,1416.88,0.0444336,184.316
5.952,0.0638674,815.006,1388.3,0.0390625,200.673
6.016,0.0716356,858.207,1421.38,0.0366211,88.7613
6.08,0.0737134,811.553,1384.36,0.0336914,87.9097
6.144,0.115851,967.867,1391.12,0.0541992,87.3857
6.208,0.13977,1095.08,1504.47,0.065918,179.393
6.272,0.107127,1381.69,1788.24,0.0629883,178.253
6.336,0.0779044,1285.68,1699.87,0.0595703,177.042
6.4,0.0838374,934.64,1369.53,0.050293,87.9618
6.464,0.0927955,796.554,1262.02,0.0478516,88.1932
6.528,0.0880682,767.549,1185.56,0.0488281,87.9479
6.592,0.0652395,801.797,1243.58,0.0507812,177.822
6.656,0.0646594,802.424,1272.62,0.046875,176.529
6.72,0.088561,1491.95,1937.15,0.0473633,88.2162
6.784,0.108098,1511.77,1929.85,0.0629883,182.015
6.848,0.127059,2024.59,2224.28,0.078125,173.384
6.912,0.145526,1872.74,2155.59,0.0756836,174.566
6.976,0.138222,2201.16,2198.75,0.101562,175.257
7.04,0.148114,2280.09,2188.5,0.0947266,174.81
7.104,0.157771,1950.35,2097.01,0.0620117,175.585
7.168,0.163768,1643.94,2000.58,0.0688477,174.382
7.232,0.164046,1786.08,1957.92,0.0776367,175.881
7.296,0.160563,2396.28,2155.9,0.11377,174.018
7.36,0.162771,2007.79,2102.1,0.12207,181.946
7.424,0.139793,1826.2,1959.62,0.0893555,181.734
7.488,0.123927,1478.07,1724.62,0.0952148,94.1907
7.552,0.114021,1448.83,1636.44,0.0986328,70.1133
7.616,0.100627,1223.99,1508.79,0.081543,70.057
7.68,0.121826,1231.76,1533.82,0.0800781,70.0243
7.744,0.157029,2460.46,2240.63,0.166504,128.478
7.808,0.154875,3104.02,2426.06,0.210938,137.203
7.872,0.14861,2291.53,2320.61,0.129395,139.694
7.936,0.143661,1400.45,1682.99,0.0883789,69.9689
8,0.126647,1011.62,1330.95,0.0839844,136.423
8.064,0.102422,1026.12,1303.88,0.0976562,66.1762
8.128,0.153238,1083.83,1441.58,0.100098,70.0402
8.192,0.214149,2221.01,2246.51,0.0722656,187.92
8.256,0.189381,2692.82,2509.26,0.0527344,174.291
8.32,0.125096,1718.18,2126.21,0.0551758,87.9318
8.384,0.0885184,1215.95,1684.12,0.0581055,88.0097
8.448,0.104791,792.708,1178.05,0.0527344,87.7555
8.512,0.14923,732.932,1058.93,0.0488281,66.4669
8.576,0.162503,1279.2,1875.94,0.0454102,65.8064
8.64,0.16283,1746.21,2199.99,0.0405273,65.6269
8.704,0.17247,683.94,1170.74,0.0351562,65.8124
8.768,0.17236,568.182,938.597,0.0366211,66.0309
8.832,0.157898,626.605,998.654,0.0463867,66.2055
8.896,0.144189,636.136,962.863,0.0507812,66.0657
8.96,0.138498,630.91,954.117,0.0473633,65.9629
9.024,0.157546,1628.44,1934.56,0.112793,65.8726
9.088,0.153343,2743.81,2279.94,0.157715,65.7922
9.152,0.122547,2358.84,2427.27,0.0986328,66.2968
9.216,0.117622,1190.73,1796.19,0.0458984,65.7004
9.28,0.114828,755.254,1277.21,0.0405273,65.7986
9.344,0.154306,1187.26,1502.09,0.0546875,65.3475
9.408,0.183646,1233.21,1648.55,0.0551758,69.1428
9.472,0.182805,1069.38,1674.21,0.0493164,206.791
9.536,0.160246,1065.02,1681.08,0.0478516,65.5506
9.6,0.13566,992.768,1533.31,0.0463867,209.225
9.664,0.135013,918.232,1506.74,0.046875,202.376
9.728,0.127539,1022.56,1654.56,0.0483398,84.4668
9.792,0.134225,1043.56,1674.17,0.0498047,84.4567
9.856,0.132536,973.529,1606.13,0.0493164,68.8724
9.92,0.116034,873.511,1472.8,0.0439453,68.3628
9.984,0.101805,721.183,1234.76,0.0385742,86.0805
10.048,0.177398,1429.45,2019.43,0.0551758,225.031
10.112,0.1842,2189.47,2285.32,0.0878906,225.31
10.176,0.116719,1772.23,2167.36,0.0742188,227.701
10.24,0.114516,986.014,1571.2,0.0419922,68.2081
10.304,0.102101,764.685,1276.09,0.0351562,134.036
10.368,0.0908267,702.804,1193.63,0.034668,87.011
10.432,0.0942291,721.912,1245.3,0.0361328,87.002
10.496,0.198075,1703.27,1955.9,0.0380859,202.968
10.56,0.229459,1872.77,2218.86,0.0336914,177.011
10.624,0.170488,1276.97,1924.98,0.0239258,174.767
10.688,0.111278,927.596,1546.08,0.03125,176.342
10.752,0.0510687,1048.11,1569.62,0.0620117,87.0556
10.816,0.0977914,2003.1,1983.75,0.0932617,178.937
10.88,0.11369,2197.3,2202.21,0.12207,194.877
10.944,0.0906174,2444.93,2175.3,0.177734,91.4638
11.008,0.0963131,2456.37,2063.07,0.203613,255.112
11.072,0.143179,1599.26,1926.93,0.131836,199.89
11.136,0.147404,2017.48,2067.42,0.120605,139.907
11.2,0.118227,2190.01,2015.75,0.171875,130.484
11.264,0.113309,2356.03,2069.41,0.185059,263.141
11.328,0.136082,2221.9,2073.89,0.200195,271.434
11.392,0.141382,2866.55,2172.56,0.211914,183.139
11.456,0.111362,2887.22,2369.51,0.223145,131.176
11.52,0.0963296,2627.57,2293.44,0.196777,130.959
11.584,0.110175,1999.62,2021.83,0.125,261.915
11.648,0.165206,1463.29,1844.49,0.0737305,131.375
11.712,0.194755,1444.65,1816,0.0610352,235.328
11.776,0.187626,1307.3,1778.06,0.0522461,236.885
11.84,0.156998,1375.68,1712.05,0.0424805,65.5294
11.904,0.14338,1560.3,1822.93,0.0917969,253.841
11.968,0.175287,2572.74,1982.58,0.141602,246.79
12.032,0.173159,1911.61,2021.88,0.124512,93.2963
12.096,0.146711,1798.98,1910.28,0.102539,264.001
12.16,0.135146,1579.41,1651.8,0.113281,243.634
12.224,0.127006,1361.38,1484.84,0.115234,70.0461
12.288,0.118308,1152.99,1382.65,0.0932617,69.9925
12.352,0.15198,1256.33,1642.77,0.119629,69.9945
12.416,0.160888,3109.48,2246.87,0.219238,228.04
12.48,0.133852,3050.3,2435.89,0.220215,141.307
12.544,0.132727,2047.44,2147.99,0.129395,70.0506
12.608,0.125479,1382.91,1639.57,0.0859375,70.1067
12.672,0.115829,956.692,1327.51,0.0708008,132.463
12.736,0.100547,1164.5,1416.17,0.0776367,131.535
12.8,0.164945,1779.88,1997.08,0.0874023,70.0052
12.864,0.202359,2654.58,2286.05,0.0922852,184.011
12.928,0.170144,2378.72,2407.26,0.0649414,87.8685
12.992,0.124418,1554.59,2005.11,0.0429688,88.6182
13.056,0.081269,1175.59,1641,0.0449219,88.074
13.12,0.13546,686.314,1005.44,0.0419922,137.011
13.184,0.183165,632.162,955.996,0.0366211,65.8229
13.248,0.176447,661.263,1036.69,0.0332031,65.7671
13.312,0.152651,700.199,1142.96,0.0375977,65.8605
13.376,0.161156,612.902,1069.28,0.0405273,65.9958
13.44,0.168806,680.91,1028.48,0.0498047,66.2897
13.504,0.15108,686.512,1027.08,0.0610352,66.2029
13.568,0.15613,671.756,1020.21,0.0566406,66.0534
13.632,0.161936,622.703,982.399,0.0463867,65.9526
13.696,0.159649,2732.28,2237.51,0.135742,65.7645
13.76,0.166482,2723.46,2410.36,0.164551,65.39
13.824,0.161634,1840.25,2259.21,0.078125,65.5578
13.888,0.149543,918.448,1559.99,0.0473633,65.5718
13.952,0.13937,751.176,1287.36,0.0463867,65.8235
14.016,0.185496,1309.23,1642.57,0.0537109,66.1013
14.08,0.221973,1244.12,1806.05,0.0507812,69.1241
14.144,0.224003,1197.38,1804.31,0.0517578,202.509
14.208,0.199715,1192.99,1829.5,0.0512695,197.656
14.272,0.173348,1086.42,1724.21,0.0454102,197.326
14.336,0.159471,984.579,1606.95,0.0551758,203.702
14.4,0.140574,1179.97,1758.44,0.0600586,201.242
14.464,0.149436,909.873,1399.58,0.0517578,206.16
14.528,0.140014,864.902,1309.04,0.0512695,206.713
14.592,0.12227,783.841,1276.12,0.0517578,69.7135
14.656,0.131906,784.283,1257.37,0.0478516,84.2686
14.72,0.171491,1562.06,2002.34,0.0732422,213.241
14.784,0.161913,2433.32,2342.44,0.103027,220.008
14.848,0.111816,1797.49,2166.71,0.0751953,215.444
14.912,0.0993797,1011.97,1575,0.0512695,87.424
14.976,0.0899696,1364.96,1992.26,0.0498047,66.932
15.04,0.0783911,912.85,1525.63,0.0424805,130.963
15.104,0.136444,889.861,1432.51,0.050293,86.0539
15.168,0.200419,2007.98,2238.15,0.0527344,198.785
15.232,0.191356,2353.98,2464.53,0.0439453,175.653
15.296,0.133516,1590.97,2119.67,0.0327148,177.563
15.36,0.079187,1207.84,1807.23,0.0366211,88.3636
15.424,0.104824,1840.88,1898.77,0.0810547,86.6945
15.488,0.121823,2164.88,2075.3,0.135254,203.851
15.552,0.0869027,2081.43,1991.53,0.137207,193.083
15.616,0.112548,1988,1899.46,0.131836,93.3253
15.68,0.136174,2355.77,2091.36,0.14209,119.324
15.744,0.134159,1610.4,1950.49,0.0957031,66.2384
15.808,0.134942,1727.14,1877.03,0.10791,138.31
15.872,0.13148,2322.44,2030.43,0.168945,615.385
15.936,0.119073,2226.81,2059.45,0.145508,61.0545
16,0.132652,1837.19,1939.33,0.126953,615.385
16.064,0.135576,2451.39,2191.23,0.167969,211.676
16.128,0.10909,2530.88,2172.57,0.166992,70.4732
16.192,0.091205,1938.89,1899.41,0.129883,615.385
16.256,0.100355,1636.77,1698.26,0.106934,211.407
16.32,0.129922,1396.44,1603.94,0.0756836,615.385
